images,flower_number,distance,flower_color,imagej_area,morphology,area,mask
PXL_20240214_172530114_80cm_F6_.jpg,F6,80cm,T1,7.953,C1,7.688722294654498,api/data/output/flower_0.45_2272f538-555c-4e40-8eeb-91ea94074b78@2024-11-20@PXL_20240214_172530114_80cm_F6_.jpg
PXL_20240214_173554009_80cm_F11_.jpg,F11,80cm,T5,0.522,C3,0.5453769559032717,api/data/output/flower_0.45_fca74d2a-144c-4698-8773-d062c0cc9541@2024-11-20@PXL_20240214_173554009_80cm_F11_.jpg
PXL_20240214_175708911_100cm_F23_.jpg,F23,100cm,T3,5.567,C2,4.825695931477517,api/data/output/flower_0.45_607b8344-7fc3-473c-b3d8-4307a18c19a5@2024-11-20@PXL_20240214_175708911_100cm_F23_.jpg
PXL_20240214_175352365_100cm_F21_.jpg,F21,100cm,T2,3.053,C2,3.799801783944499,api/data/output/flower_0.45_9220a21c-06ae-433e-8a69-de0bbd27cfe7@2024-11-20@PXL_20240214_175352365_100cm_F21_.jpg
PXL_20240214_174000188_80cm_F13_.jpg,F13,80cm,T4,20.396,C3,20.380473372781065,api/data/output/flower_0.45_22e3d614-402f-4387-99bb-24009f03bf6f@2024-11-20@PXL_20240214_174000188_80cm_F13_.jpg
PXL_20240214_175405036_80cm_F21_.jpg,F21,80cm,T2,3.17,C2,3.393236444941308,api/data/output/flower_0.45_43b487ba-f053-4961-993a-4871faa62908@2024-11-20@PXL_20240214_175405036_80cm_F21_.jpg
PXL_20240214_175033319_60cm_F18_.jpg,F18,60cm,T2,5.578,C2,5.661146074859225,api/data/output/flower_0.45_3dd1d51e-4c8c-4cff-ac4d-670255ffe27e@2024-11-20@PXL_20240214_175033319_60cm_F18_.jpg
PXL_20240214_173904525_100cm_F13_.jpg,F13,100cm,T4,15.342,C3,15.873225152129816,api/data/output/flower_0.45_d125a549-0a67-46ea-bb28-ebc882524944@2024-11-20@PXL_20240214_173904525_100cm_F13_.jpg
PXL_20240214_173731980_100cm_F12_.jpg,F12,100cm,T4,0.447,C3,1.2203389830508475,api/data/output/flower_0.45_339f6c3e-a0ed-4eb0-b94a-29b5d023d3f0@2024-11-20@PXL_20240214_173731980_100cm_F12_.jpg
PXL_20240214_172130671_60cm_F4_.jpg,F4,60cm,T2,9.709,C2,9.895896656534955,api/data/output/flower_0.45_01f4dc1d-4f04-41a8-be2d-963ce091330e@2024-11-20@PXL_20240214_172130671_60cm_F4_.jpg
PXL_20240214_174053319_60cm_F13_.jpg,F13,60cm,T4,35.9,C3,35.30155210643016,api/data/output/flower_0.45_73b973a1-bd4a-4381-8873-03995c2f29b9@2024-11-20@PXL_20240214_174053319_60cm_F13_.jpg
PXL_20240214_174619635_100cm_F15_.jpg,F15,100cm,T4,55.739,C3,34.33170731707317,api/data/output/flower_0.45_0d5401cc-d27e-41bf-a435-d0592343f361@2024-11-20@PXL_20240214_174619635_100cm_F15_.jpg
PXL_20240214_175016038_100cm_F18_.jpg,F18,100cm,T2,4.239,C2,4.6086519114688125,api/data/output/flower_0.45_9db4593b-0f28-4f0a-877a-5ff88cfaa545@2024-11-20@PXL_20240214_175016038_100cm_F18_.jpg
PXL_20240214_175122307_80cm_F19_.jpg,F19,80cm,T2,5.149,C2,4.666562107904642,api/data/output/flower_0.45_36c11bad-1ff2-4db8-850d-fd98cd94d563@2024-11-20@PXL_20240214_175122307_80cm_F19_.jpg
PXL_20240214_174857541_100cm_F17_.jpg,F17,100cm,T2,1.929,C2,1.4978354978354977,api/data/output/flower_0.45_89c95d7c-c098-4e34-a92a-48322765e810@2024-11-20@PXL_20240214_174857541_100cm_F17_.jpg
PXL_20240214_172902391_100cm_F7_.jpg,F7,100cm,T3,12.958,C2,13.595591182364728,api/data/output/flower_0.45_2619da70-920e-4307-b4b9-cd31a95c7ea0@2024-11-20@PXL_20240214_172902391_100cm_F7_.jpg
PXL_20240214_171637048_100cm_F1_.jpg,F1,100cm,T1,5.207,C1,5.735294117647058,api/data/output/flower_0.45_267e61e1-e11d-4d76-9329-6b0fd2920dae@2024-11-20@PXL_20240214_171637048_100cm_F1_.jpg
PXL_20240214_172812015_60cm_F7_.jpg,F7,60cm,T3,18.595,C2,20.1082465425986,api/data/output/flower_0.45_76f57b14-bf5d-49dc-a63f-ff30b7f31d40@2024-11-20@PXL_20240214_172812015_60cm_F7_.jpg
PXL_20240214_172005738_100cm_F3_.jpg,F3,100cm,T1,1.531,C1,1.6032514700795573,api/data/output/flower_0.45_c9a12033-233c-45ad-8b9a-b927efa99838@2024-11-20@PXL_20240214_172005738_100cm_F3_.jpg
PXL_20240214_171819047_100cm_F2_.jpg,F2,100cm,T1,6.22,C1,6.341968911917098,api/data/output/flower_0.45_60ff0c02-3b86-4229-a0ab-0ac12d9a3b2e@2024-11-20@PXL_20240214_171819047_100cm_F2_.jpg
PXL_20240214_175600353_100cm_F22_.jpg,F22,100cm,T3,2.897,C2,2.4756703078450846,api/data/output/flower_0.45_675fbf7c-0221-4300-95dd-fcc22702b7ea@2024-11-20@PXL_20240214_175600353_100cm_F22_.jpg
PXL_20240214_173425086_80cm_F10_.jpg,F10,80cm,T4,2.992,C3,3.1614084507042253,api/data/output/flower_0.45_c7e5ba2e-e282-4c1d-84ec-826bb74855a2@2024-11-20@PXL_20240214_173425086_80cm_F10_.jpg
PXL_20240214_175608164_80cm_F22_.jpg,F22,80cm,T3,3.329,C2,3.2498543972044267,api/data/output/flower_0.45_a48266ed-8f11-4c5d-ac7a-0b0d22d61788@2024-11-20@PXL_20240214_175608164_80cm_F22_.jpg
PXL_20240214_174424831_90cm_F14_.jpg,F14,90cm,T4,32.593,C3,37.39032258064516,api/data/output/flower_0.45_600d0a12-b90f-4c8b-8ad1-30265dbff100@2024-11-20@PXL_20240214_174424831_90cm_F14_.jpg
PXL_20240214_174325426_100cm_F14_.jpg,F14,100cm,T4,29.705,C3,33.96634615384615,api/data/output/flower_0.45_92b566f7-2482-4b46-bf20-2ee1850c923b@2024-11-20@PXL_20240214_174325426_100cm_F14_.jpg
PXL_20240214_171937537_100cm_F3_.jpg,F3,100cm,T1,1.07,C1,1.3443163097199342,api/data/output/flower_0.45_8fa97c3d-31f3-4738-be9f-f4268f921e84@2024-11-20@PXL_20240214_171937537_100cm_F3_.jpg
PXL_20240214_172801012_80cm_F7_.jpg,F7,80cm,T3,15.805,C2,16.19540555870675,api/data/output/flower_0.45_709fd080-8e12-4c96-87f9-bcf24fdc45bb@2024-11-20@PXL_20240214_172801012_80cm_F7_.jpg
PXL_20240214_173542045_100cm_F11_.jpg,F11,100cm,T5,0.473,C3,0.0,api/data/output/flower_0.45_4e42760f-4086-471e-aaba-9d6eeb014e7f@2024-11-20@PXL_20240214_173542045_100cm_F11_.jpg
PXL_20240214_174810162_60cm_F16_.jpg,F16,60cm,T3,11.036,C2,10.868766404199475,api/data/output/flower_0.45_df050aec-450b-4d65-8305-4935adbba9fb@2024-11-20@PXL_20240214_174810162_60cm_F16_.jpg
PXL_20240214_171827242_100cm_F2_.jpg,F2,80cm,T1,6.998,C1,7.243700061462815,api/data/output/flower_0.45_b277350f-bbd9-460d-a1c6-23b602a746fe@2024-11-20@PXL_20240214_171827242_100cm_F2_.jpg
PXL_20240214_173058624_100cm_F8_.jpg,F8,100cm,T1,1.19,C1,0.44811540251279663,api/data/output/flower_0.45_e4f94ff6-1d2d-48db-b68e-c9767630f6f8@2024-11-20@PXL_20240214_173058624_100cm_F8_.jpg
PXL_20240214_173256770_60cm_F9_.jpg,F9,60cm,T3,10.065,C2,10.809427268119615,api/data/output/flower_0.45_f2b2d8ae-44ec-4f9f-8e54-0dcae9e2b4f4@2024-11-20@PXL_20240214_173256770_60cm_F9_.jpg
PXL_20240214_175022538_80cm_F18_.jpg,F18,80cm,T2,4.866,C2,5.36322360953462,api/data/output/flower_0.45_f95d0460-92d8-442b-b3e3-6fd9cad1318e@2024-11-20@PXL_20240214_175022538_80cm_F18_.jpg
PXL_20240214_173112853_80cm_F8_.jpg,F8,80cm,T1,1.19,C1,0.48597640891218874,api/data/output/flower_0.45_6b41f7c9-a808-4adc-903c-6c5ef1e5b895@2024-11-20@PXL_20240214_173112853_80cm_F8_.jpg
PXL_20240214_173605233_60cm_F11_.jpg,F11,60cm,T5,0.486,C3,0.44840425531914896,api/data/output/flower_0.45_e3ef9711-b729-4e95-b9ce-a1de558a51a3@2024-11-20@PXL_20240214_173605233_60cm_F11_.jpg
PXL_20240214_173124719_60cm_F8_.jpg,F8,60cm,T1,1.35,C1,0.8696389218511612,api/data/output/flower_0.45_1e85d590-7560-4577-972e-1828bee1f168@2024-11-20@PXL_20240214_173124719_60cm_F8_.jpg
PXL_20240214_174440129_80cm_F14_.jpg,F14,80cm,T4,38.249,C3,44.078167115902964,api/data/output/flower_0.45_8d551335-eaab-4718-afd1-f98f4339951b@2024-11-20@PXL_20240214_174440129_80cm_F14_.jpg
PXL_20240214_173951011_90cm_F13_.jpg,F13,90cm,T4,15.583,C3,14.297567332754127,api/data/output/flower_0.45_534ccabe-dda9-4f6d-bbde-be2ddc0ff15d@2024-11-20@PXL_20240214_173951011_90cm_F13_.jpg
PXL_20240214_172851466_80cm_F7_.jpg,F7,80cm,T3,14.207,C2,13.90989010989011,api/data/output/flower_0.45_390f68fa-c271-4f5f-a54c-77afe81d19f9@2024-11-20@PXL_20240214_172851466_80cm_F7_.jpg
PXL_20240214_175112414_100cm_F19_.jpg,F19,100cm,T2,4.449,C2,2.977218794494542,api/data/output/flower_0.45_31972269-27d5-467e-a142-988cac63bee1@2024-11-20@PXL_20240214_175112414_100cm_F19_.jpg
PXL_20240214_173235450_100cm_F9_.jpg,F9,100cm,T3,7.904,C2,7.703566465956461,api/data/output/flower_0.45_e540ccc2-c0aa-411d-870e-a25a001f2b79@2024-11-20@PXL_20240214_173235450_100cm_F9_.jpg
